id,sensorId,Type,coordinates.lat,coordinates.long,altitude,heading,speed,speedmetric,temp,observationTime,date2
1167,881514,truck,43.044155,2.94599,19.0,314,82,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
1168,881539,truck,51.19108,4.40713,7.0,106,88,KilometersPerHour,,2018-05-15T11:08:41.0000000Z,2018-05-31 11:08:41
1169,861568,truck,40.280474,-3.781033,656.0,260,0,KilometersPerHour,11.5,2018-05-15T11:09:03.0000000Z,2018-05-31 11:09:03
1170,881532,truck,41.762736,-2.320998,1117.0,274,77,KilometersPerHour,,2018-05-15T11:09:16.0000000Z,2018-05-31 11:09:16
1171,881525,truck,41.639903,-0.757447,207.0,212,0,KilometersPerHour,,2018-05-15T11:09:02.0000000Z,2018-05-31 11:09:02
1172,881570,truck,47.799674,-1.277346,100.0,296,49,KilometersPerHour,,2018-05-15T11:08:59.0000000Z,2018-05-31 11:08:59
1173,851503,truck,37.97641,-1.12337,110.0,252,29,KilometersPerHour,,2018-05-15T11:09:41.0000000Z,2018-05-31 11:09:41
1174,1815454,car,39.86889,-4.36038,542.0,176,29,KilometersPerHour,,2018-05-15T11:09:36.0000000Z,2018-05-31 11:09:36
1175,1715247,car,37.22929,-5.44606,146.0,166,89,KilometersPerHour,,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
1176,1715146,truck,37.2928,-6.89824,21.0,190,0,KilometersPerHour,,2018-05-15T11:09:12.0000000Z,2018-05-31 11:09:12
1177,1715158,car,37.84658,-4.79804,70.0,301,0,KilometersPerHour,,2018-05-15T11:09:07.0000000Z,2018-05-31 11:09:07
1178,1715195,car,37.37557,-5.9184800000000015,78.0,177,0,KilometersPerHour,,2018-05-15T11:09:03.0000000Z,2018-05-31 11:09:03
1179,1715256,car,36.72758,-6.09335,28.0,10,0,KilometersPerHour,,2018-05-15T11:09:12.0000000Z,2018-05-31 11:09:12
1180,1715255,car,39.47914,-0.46764,70.0,170,0,KilometersPerHour,,2018-05-15T11:09:23.0000000Z,2018-05-31 11:09:23
1181,1715150,truck,37.34911,-5.9957699999999985,11.0,136,14,KilometersPerHour,,2018-05-15T11:09:29.0000000Z,2018-05-31 11:09:29
1182,1115207,truck,37.90294,-4.71674,191.0,168,0,KilometersPerHour,,2018-05-15T11:08:54.0000000Z,2018-05-31 11:08:54
1183,1115297,truck,43.26446,-2.83144,163.0,279,77,KilometersPerHour,,2018-05-15T11:09:13.0000000Z,2018-05-31 11:09:13
1184,2415013,car,39.383931,-0.448155,25.0,336,8,KilometersPerHour,,2018-05-15T11:09:35.0000000Z,2018-05-31 11:09:35
1185,1815486,car,28.08877,-15.41511,45.0,36,61,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1186,1815585,car,28.26081,-16.824679999999994,491.0,198,11,KilometersPerHour,,2018-05-15T11:09:31.0000000Z,2018-05-31 11:09:31
1187,1215671,truck,39.814963,-2.467785,973.0,138,76,KilometersPerHour,,2018-05-15T11:08:59.0000000Z,2018-05-31 11:08:59
1188,1215011,truck,37.359342,-2.3387830000000003,523.0,274,0,KilometersPerHour,,2018-05-15T11:09:08.0000000Z,2018-05-31 11:09:08
1189,2215730,truck,37.929759,-1.281913,131.0,226,87,KilometersPerHour,,2018-05-15T11:09:19.0000000Z,2018-05-31 11:09:19
1190,2215684,truck,46.25763,4.794832,190.0,156,88,KilometersPerHour,,2018-05-15T11:09:19.0000000Z,2018-05-31 11:09:19
1191,2115998,car,38.023,-1.16538,118.0,9,0,KilometersPerHour,,2018-05-15T11:09:27.0000000Z,2018-05-31 11:09:27
1192,4315007,car,36.9822,-3.21812,1836.0,15,0,KilometersPerHour,,2018-05-15T11:08:52.0000000Z,2018-05-31 11:08:52
1193,971590,truck,39.46977,-0.35683000000000004,164.0,5,0,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1194,1415036,truck,37.39498,-5.91967,75.0,240,34,KilometersPerHour,,2018-05-15T11:09:33.0000000Z,2018-05-31 11:09:33
1195,681591,truck,37.34818,-6.46556,164.0,105,97,KilometersPerHour,,2018-05-15T11:09:09.0000000Z,2018-05-31 11:09:09
1196,711525,car,37.59787,-0.98354,71.0,88,25,KilometersPerHour,,2018-05-15T11:08:55.0000000Z,2018-05-31 11:08:55
1197,711529,car,37.77179,-0.86064,68.0,321,0,KilometersPerHour,,2018-05-15T11:09:44.0000000Z,2018-05-31 11:09:44
1198,1815649,car,42.13675,-3.71418,960.0,201,127,KilometersPerHour,,2018-05-15T11:09:42.0000000Z,2018-05-31 11:09:42
1199,3915067,truck,38.00459,-1.308761,191.0,174,0,KilometersPerHour,17.3,2018-05-15T11:09:13.0000000Z,2018-05-31 11:09:13
1200,3815779,truck,38.0054,-1.308588,173.0,140,9,KilometersPerHour,18.0,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
1201,3715870,truck,38.544307,-0.16971,79.0,54,90,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
1202,3815378,truck,43.22793,-2.015692,77.0,246,81,KilometersPerHour,,2018-05-15T11:09:07.0000000Z,2018-05-31 11:09:07
1203,1815202,truck,41.49757,2.13377,168.0,24,40,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
